"root","ruid","session","maxdiam","rightcens","co2treat","ntreat","agedays","ageyears","sessdead"
4.1,"1-5-7-4.1-58",58,0.000329341317365269,FALSE,"AMBIENT",1,57,0.15605749486653,58
1,"1-5-8-1-79",79,0.000289473684210526,FALSE,"AMBIENT",1,423,1.15811088295688,79
1,"1-5-9-1-73",73,0.000368421052631579,FALSE,"AMBIENT",1,437,1.19644079397673,73
1.1,"1-5-9-1.1-61",61,0.000359281437125748,TRUE,"AMBIENT",1,113,0.309377138945927,NA
2,"1-5-9-2-71",71,0.000289473684210526,FALSE,"AMBIENT",1,380,1.0403832991102,71
3,"1-5-9-3-71",71,0.000210526315789474,FALSE,"AMBIENT",1,773,2.11635865845311,71
4,"1-5-9-4-79",79,0.000368421052631579,FALSE,"AMBIENT",1,161,0.440793976728268,79
1,"1-5-10-1-74",74,0.000289473684210526,FALSE,"AMBIENT",1,194,0.531143052703628,74
1,"1-5-11-1-75",75,0.000289473684210526,FALSE,"AMBIENT",1,223,0.610540725530459,75
2,"1-5-11-2-104",104,0.000552631578947368,TRUE,"AMBIENT",1,144,0.394250513347023,NA
1,"1-5-12-1-85",85,0.000605263157894737,FALSE,"AMBIENT",1,745,2.03969883641342,85
2,"1-5-12-2-84",84,0.000210526315789474,FALSE,"AMBIENT",1,121,0.331279945242984,84
1,"1-5-13-1-104",104,0.000236842105263158,TRUE,"AMBIENT",1,751,2.05612594113621,NA
1.1,"1-5-13-1.1-36",36,0.000329341317365269,FALSE,"AMBIENT",1,905,2.47775496235455,36
2,"1-5-13-2-104",104,0.000289473684210526,TRUE,"AMBIENT",1,394,1.07871321013005,NA
2.1,"1-5-13-2.1-61",61,0.000329341317365269,TRUE,"AMBIENT",1,113,0.309377138945927,NA
1,"1-5-14-1-85",85,0.000289473684210526,FALSE,"AMBIENT",1,169,0.462696783025325,85
1,"1-5-15-1-104",104,0.000289473684210526,TRUE,"AMBIENT",1,1453,3.97809719370294,NA
2,"1-5-15-2-71",71,0.000236842105263158,FALSE,"AMBIENT",1,578,1.58247775496235,71
1,"1-5-17-1-104",104,0.000184210526315789,TRUE,"AMBIENT",1,751,2.05612594113621,NA
1.1,"1-5-17-1.1-31",31,0.000239520958083832,FALSE,"AMBIENT",1,665,1.82067077344285,31
2,"1-5-17-2-104",104,0.000394736842105263,TRUE,"AMBIENT",1,29,0.0793976728268309,NA
2.1,"1-5-17-2.1-52",52,0.000389221556886228,FALSE,"AMBIENT",1,70,0.191649555099247,52
1.1,"1-5-19-1.1-52",52,0.000449101796407186,FALSE,"AMBIENT",1,70,0.191649555099247,52
1,"1-5-21-1-75",75,0.000210526315789474,FALSE,"AMBIENT",1,180,0.492813141683778,75
1.1,"1-5-21-1.1-36",36,0.000718562874251497,FALSE,"AMBIENT",1,1179,3.22792607802875,36
1,"1-5-22-1-104",104,0.000210526315789474,TRUE,"AMBIENT",1,1300,3.55920602327173,NA
1,"1-5-23-1-104",104,0.000236842105263158,TRUE,"AMBIENT",1,2594,7.10198494182067,NA
1.1,"1-5-23-1.1-61",61,0.000359281437125748,TRUE,"AMBIENT",1,1217,3.33196440793977,NA
2,"1-5-23-2-71",71,0.000263157894736842,FALSE,"AMBIENT",1,330,0.903490759753593,71
1,"1-5-24-1-71",71,0.000342105263157895,FALSE,"AMBIENT",1,330,0.903490759753593,71
2,"1-5-24-2-87",87,0.000263157894736842,FALSE,"AMBIENT",1,233,0.63791923340178,87
1,"1-5-25-1-104",104,0.000394736842105263,TRUE,"AMBIENT",1,1057,2.89390828199863,NA
2,"1-5-25-2-104",104,0.000236842105263158,TRUE,"AMBIENT",1,940,2.57357973990418,NA
3,"1-5-25-3-104",104,0.000236842105263158,TRUE,"AMBIENT",1,751,2.05612594113621,NA
4,"1-5-25-4-82",82,0.000236842105263158,FALSE,"AMBIENT",1,58,0.158795345653662,82
1,"1-5-27-1-104",104,0.000210526315789474,TRUE,"AMBIENT",1,729,1.9958932238193,NA
1.1,"1-5-27-1.1-17",17,0.000389221556886228,FALSE,"AMBIENT",1,554,1.51676933607118,17
1.1,"1-5-31-1.1-61",61,0.00125748502994012,TRUE,"AMBIENT",1,1217,3.33196440793977,NA
1,"1-6-1-1-67",67,0.000315789473684211,FALSE,"AMBIENT",1,1356,3.71252566735113,67
1.1,"1-6-1-1.1-61",61,0.000748502994011976,TRUE,"AMBIENT",1,1133,3.10198494182067,NA
2,"1-6-1-2-67",67,0.000263157894736842,FALSE,"AMBIENT",1,1356,3.71252566735113,67
2.1,"1-6-1-2.1-61",61,0.000329341317365269,TRUE,"AMBIENT",1,1133,3.10198494182067,NA
3.1,"1-6-1-3.1-61",61,0.000329341317365269,TRUE,"AMBIENT",1,198,0.542094455852156,NA
4.1,"1-6-1-4.1-61",61,0.000269461077844311,TRUE,"AMBIENT",1,198,0.542094455852156,NA
1,"1-6-2-1-104",104,0.000289473684210526,TRUE,"AMBIENT",1,1327,3.6331279945243,NA
1,"1-6-3-1-84",84,0.000394736842105263,FALSE,"AMBIENT",1,910,2.49144421629021,84
1.1,"1-6-3-1.1-11",11,0.00029940119760479,FALSE,"AMBIENT",1,221,0.605065023956194,11
2.1,"1-6-3-2.1-61",61,0.000359281437125748,TRUE,"AMBIENT",1,141,0.386036960985626,NA
1,"1-6-4-1-72",72,0.000315789473684211,FALSE,"AMBIENT",1,131,0.358658453114305,72
1.1,"1-6-5-1.1-61",61,0.000329341317365269,TRUE,"AMBIENT",1,1865,5.10609171800137,NA
